Summary,Description,Issue Type,Priority,Status,Labels,Assignee,Reporter
"Deployment pipeline beállítása","CI/CD pipeline beállítása, automatikus deployment a szerverre","Task","High","To Do","Deployment","novakakos87@gmail.com","novakakos87@gmail.com"
"Footer létrehozása","Footer szekció létrehozása, amely tartalmazza az elérhetőségeket és social media linkeket","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Social media linkek hozzáadása","Social media ikonok elhelyezése és linkek hozzáadása (pl. LinkedIn, GitHub)","Task","Low","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Projektkártya animációk","Animációs effektusok hozzáadása a portfólió projektkártyák hover eseményeihez","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Dark mode implementálása","Dark mode beállítása és kapcsoló gomb létrehozása a felhasználói felületen","Story","High","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Oldalsáv fejlesztése","Oldalsáv komponens létrehozása a könnyebb navigáció érdekében","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Kapcsolat oldali reCAPTCHA integráció","Google reCAPTCHA hozzáadása a kapcsolat oldali űrlaphoz a spam védelem érdekében","Task","High","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Weboldal loading spinner","Loading spinner hozzáadása az oldal elején, amíg minden tartalom betöltődik","Task","Low","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Portfólió projektek filterezése","Filter opció hozzáadása a portfólió oldalhoz, kategóriák szerinti szűrés lehetőségével","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Projektek címkézése","Minden projekt címkézése (pl. 'Frontend', 'Backend', 'Design') a könnyebb kereshetőség érdekében","Task","Low","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Felhasználói bejelentkezés","Alap felhasználói bejelentkezési funkció létrehozása a weboldalhoz","Story","High","To Do","Frontend,Backend","novakakos87@gmail.com","novakakos87@gmail.com"
"Felhasználói regisztráció","Felhasználói regisztrációs funkció és validáció kialakítása","Task","High","To Do","Frontend,Backend","novakakos87@gmail.com","novakakos87@gmail.com"
"Jelszó visszaállítás","Jelszó visszaállítás funkció létrehozása email küldéssel","Task","High","To Do","Backend","novakakos87@gmail.com","novakakos87@gmail.com"
"Oldal betöltési sebességének optimalizálása","Képek optimalizálása, kód minifikálása, cache beállítása a gyorsabb betöltésért","Task","High","To Do","Optimization","novakakos87@gmail.com","novakakos87@gmail.com"
"Sitemap generálása","Oldaltérkép generálása a weboldal URL-jeinek listázásához, keresőmotorok számára","Task","Medium","To Do","SEO","novakakos87@gmail.com","novakakos87@gmail.com"
"404 hiba oldal","404-es hibaoldal létrehozása, hogy barátságos üzenetet jelenítsen meg, ha az oldal nem található","Task","Low","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Adatvédelmi nyilatkozat oldal","Adatvédelmi nyilatkozat oldal létrehozása az adatvédelmi szabályoknak megfelelően","Task","High","To Do","Legal","novakakos87@gmail.com","novakakos87@gmail.com"

